sku,mlir,success,time
gfx942,compute_gemm_4096_4096_8192_f32_f32_tB_benchmark.mlir,True,31.527201623345416
gfx942,square_gemm_1024_1024_1024_f32_f32_tB_benchmark.mlir,True,32.07931284047663
gfx942,square_gemm_128_128_128_i8_i32_tB_benchmark.mlir,True,14.095336960675194
gfx942,square_gemm_2048_2048_2048_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,42.99767151788498
gfx942,square_gemm_256_256_256_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,31.90365670590351
gfx942,square_gemm_256_256_256_i8_i32_tB_benchmark.mlir,True,31.899778970874227
gfx942,square_gemm_4096_4096_4096_f16_f32_tB_benchmark.mlir,True,41.99110829359852
gfx942,square_gemm_4096_4096_4096_i8_i32_tB_benchmark.mlir,True,42.15492195918535
gfx942,square_gemm_512_512_512_f16_f32_tB_benchmark.mlir,True,45.48707698571185
gfx942,tk_gemm_128_1280_2048_i8_i32_tB_benchmark.mlir,True,38.50862723837296
gfx942,tk_gemm_2048_1280_1280_f16_f32_tB_benchmark.mlir,True,76.87390350232211
gfx942,tk_gemm_2048_1280_1280_f32_f32_tB_benchmark.mlir,True,65.70471709943376
gfx942,tk_gemm_2048_1280_5120_f16_f32_tB_benchmark.mlir,True,76.31122994550194
gfx942,tk_gemm_8192_5120_640_f32_f32_tB_benchmark.mlir,True,68.61064207348973
gfx942,unet_gemm_1024_10240_1280_f16_f32_tB_benchmark.mlir,True,83.45465795136988
gfx942,unet_gemm_1024_10240_1280_i8_i32_tB_benchmark.mlir,True,81.3073666542458
gfx942,unet_gemm_1024_1280_1280_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,77.37527935880547
gfx942,unet_gemm_1024_1280_5120_i8_i32_tB_benchmark.mlir,True,75.22499495840943
gfx942,unet_gemm_128_1280_2048_f32_f32_tB_benchmark.mlir,True,30.666959224361925
gfx942,unet_gemm_2048_10240_1280_i8_i32_tB_benchmark.mlir,True,81.14352094576073
gfx942,unet_gemm_2048_1280_1280_f32_f32_tB_benchmark.mlir,True,73.25642100699866
gfx942,unet_gemm_2048_1280_1280_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,76.57092589506259
gfx942,unet_gemm_4096_5120_640_f16_f32_tB_benchmark.mlir,True,83.45186302680523
gfx942,unet_gemm_4096_5120_640_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,76.43347495077178
gfx942,unet_gemm_4096_640_2560_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,63.82755026356317
gfx942,unet_gemm_64_1280_2048_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,24.91131903363081
gfx942,unet_gemm_64_640_2048_i8_i32_tB_benchmark.mlir,True,21.262482928981385
gfx942,unet_gemm_8192_5120_640_f32_f32_tB_benchmark.mlir,True,68.61294272230006
gfx942,unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,76.21235271768334
gfx942,unet_gemm_8192_5120_640_i8_i32_tB_benchmark.mlir,True,75.97974131247028
gfx942,unet_gemm_8192_640_2560_f8E4M3FNUZ_f32_tB_benchmark.mlir,True,63.27166535668075
gfx942,unet_gemm_8192_640_640_f16_f32_tB_benchmark.mlir,True,64.30285599722217
