sku,mlir,succuss,time
gfx1201,tk_gemm_8192_5120_640_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502327567276855
gfx1201,tk_gemm_8192_5120_640_i32_i32_tB_benchmark.mlir,False,0.0044149541606505
gfx1201,tk_gemm_8192_5120_640_i8_i32_tB_benchmark.mlir,True,0.0502042072204252
gfx1201,unet_gemm_1024_10240_1280_f16_f32_tB_benchmark.mlir,True,0.0501997031581898
gfx1201,unet_gemm_1024_10240_1280_f32_f32_tB_benchmark.mlir,False,0.0052516509157915
gfx1201,unet_gemm_1024_10240_1280_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502098946521679
gfx1201,unet_gemm_1024_10240_1280_i32_i32_tB_benchmark.mlir,False,0.0043995167128741
gfx1201,unet_gemm_1024_10240_1280_i8_i32_tB_benchmark.mlir,True,0.0502204121400912
gfx1201,unet_gemm_1024_1280_1280_f16_f32_tB_benchmark.mlir,True,0.0502352273402114
gfx1201,unet_gemm_1024_1280_1280_f32_f32_tB_benchmark.mlir,False,0.0053413924140234
gfx1201,unet_gemm_1024_1280_1280_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502286889279882
gfx1201,unet_gemm_1024_1280_1280_i32_i32_tB_benchmark.mlir,False,0.0052441184408962
gfx1201,unet_gemm_1024_1280_1280_i8_i32_tB_benchmark.mlir,True,0.0502285602812965
gfx1201,unet_gemm_1024_1280_5120_f16_f32_tB_benchmark.mlir,True,0.0502227766128877
gfx1201,unet_gemm_1024_1280_5120_f32_f32_tB_benchmark.mlir,False,0.0060831665992736
gfx1201,unet_gemm_1024_1280_5120_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502322350939114
gfx1201,unet_gemm_1024_1280_5120_i32_i32_tB_benchmark.mlir,False,0.0052361074524621
gfx1201,unet_gemm_1024_1280_5120_i8_i32_tB_benchmark.mlir,True,0.0502039766249557
gfx1201,unet_gemm_128_1280_2048_f16_f32_tB_benchmark.mlir,True,0.0501926647499203
gfx1201,unet_gemm_128_1280_2048_f32_f32_tB_benchmark.mlir,False,0.0052528482240935
gfx1201,unet_gemm_128_1280_2048_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502209737896919
gfx1201,unet_gemm_128_1280_2048_i32_i32_tB_benchmark.mlir,False,0.0052436149058242
gfx1201,unet_gemm_128_1280_2048_i8_i32_tB_benchmark.mlir,True,0.0502527236317594
gfx1201,unet_gemm_2048_10240_1280_f16_f32_tB_benchmark.mlir,True,0.0502277319009105
gfx1201,unet_gemm_2048_10240_1280_f32_f32_tB_benchmark.mlir,False,0.0053113859767715
gfx1201,unet_gemm_2048_10240_1280_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502032376204927
gfx1201,unet_gemm_2048_10240_1280_i32_i32_tB_benchmark.mlir,False,0.0044086799646417
gfx1201,unet_gemm_2048_10240_1280_i8_i32_tB_benchmark.mlir,True,0.0501770365362366
gfx1201,unet_gemm_2048_1280_1280_f16_f32_tB_benchmark.mlir,True,0.0501783229721089
gfx1201,unet_gemm_2048_1280_1280_f32_f32_tB_benchmark.mlir,False,0.0052515795454382
gfx1201,unet_gemm_2048_1280_1280_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0500131782765189
gfx1201,unet_gemm_2048_1280_1280_i32_i32_tB_benchmark.mlir,False,0.0052388705002764
gfx1201,unet_gemm_2048_1280_1280_i8_i32_tB_benchmark.mlir,True,0.0501417064728836
gfx1201,unet_gemm_2048_1280_5120_f16_f32_tB_benchmark.mlir,True,0.0502236101155479
gfx1201,unet_gemm_2048_1280_5120_f32_f32_tB_benchmark.mlir,False,0.0061034337617456
gfx1201,unet_gemm_2048_1280_5120_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0501757182801763
gfx1201,unet_gemm_2048_1280_5120_i32_i32_tB_benchmark.mlir,False,0.0052377146979173
gfx1201,unet_gemm_2048_1280_5120_i8_i32_tB_benchmark.mlir,True,0.0502252611642082
gfx1201,unet_gemm_4096_5120_640_f16_f32_tB_benchmark.mlir,True,0.0502307690680027
gfx1201,unet_gemm_4096_5120_640_f32_f32_tB_benchmark.mlir,False,0.006084816964964
gfx1201,unet_gemm_4096_5120_640_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502223210719724
gfx1201,unet_gemm_4096_5120_640_i32_i32_tB_benchmark.mlir,False,0.0044075714424252
gfx1201,unet_gemm_4096_5120_640_i8_i32_tB_benchmark.mlir,True,0.0502153481977681
gfx1201,unet_gemm_4096_640_2560_f16_f32_tB_benchmark.mlir,True,0.0501925441126028
gfx1201,unet_gemm_4096_640_2560_f32_f32_tB_benchmark.mlir,False,0.0060872755944728
gfx1201,unet_gemm_4096_640_2560_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502049157085518
gfx1201,unet_gemm_4096_640_2560_i32_i32_tB_benchmark.mlir,False,0.0060788068609933
gfx1201,unet_gemm_4096_640_2560_i8_i32_tB_benchmark.mlir,True,0.0502077113216122
gfx1201,unet_gemm_4096_640_640_f16_f32_tB_benchmark.mlir,True,0.0502294897722701
gfx1201,unet_gemm_4096_640_640_f32_f32_tB_benchmark.mlir,False,0.0060965005929271
gfx1201,unet_gemm_4096_640_640_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502109730616211
gfx1201,unet_gemm_4096_640_640_i32_i32_tB_benchmark.mlir,False,0.0052624994268019
gfx1201,unet_gemm_4096_640_640_i8_i32_tB_benchmark.mlir,True,0.0502314791083335
gfx1201,unet_gemm_64_1280_2048_f16_f32_tB_benchmark.mlir,True,0.0501770282164216
gfx1201,unet_gemm_64_1280_2048_f32_f32_tB_benchmark.mlir,False,0.005253212681661
gfx1201,unet_gemm_64_1280_2048_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502164144068956
gfx1201,unet_gemm_64_1280_2048_i32_i32_tB_benchmark.mlir,False,0.0052945998807748
gfx1201,unet_gemm_64_1280_2048_i8_i32_tB_benchmark.mlir,True,0.0501764594266812
gfx1201,unet_gemm_64_640_2048_f16_f32_tB_benchmark.mlir,True,0.0501948749025662
gfx1201,unet_gemm_64_640_2048_f32_f32_tB_benchmark.mlir,False,0.0060740045582254
